timestamp,ip_address,username,login_outcome,request_source,session_id
2025-04-01 08:00:00,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:00:10,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:00:20,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:00:30,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:00:40,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:00:50,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:01:00,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:01:10,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:01:20,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:01:30,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:01:40,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:01:50,203.0.113.10,admin,failure,web,sess_bf1
2025-04-01 08:02:00,203.0.113.10,admin,success,web,sess_bf1
2025-04-01 09:00:00,203.0.113.20,cs_u1,failure,web,sess_cs1
2025-04-01 09:00:25,203.0.113.20,cs_u2,failure,web,sess_cs1
2025-04-01 09:00:50,203.0.113.20,cs_u3,failure,web,sess_cs1
2025-04-01 09:01:15,203.0.113.20,cs_u4,failure,web,sess_cs1
2025-04-01 09:01:40,203.0.113.20,cs_u5,failure,web,sess_cs1
2025-04-01 09:02:05,203.0.113.20,cs_u6,failure,web,sess_cs1
2025-04-01 09:02:30,203.0.113.20,cs_u7,failure,web,sess_cs1
2025-04-01 10:00:00,203.0.113.30,emp_alice,success,web,sess_nat
2025-04-01 10:00:30,203.0.113.30,emp_bob,success,web,sess_nat
2025-04-01 10:01:00,203.0.113.30,emp_carol,failure,web,sess_nat
2025-04-01 10:01:05,203.0.113.30,emp_carol,success,web,sess_nat
2025-04-01 10:02:00,203.0.113.30,emp_dave,success,web,sess_nat
2025-04-01 10:03:00,203.0.113.30,emp_erin,success,web,sess_nat
2025-04-01 10:03:30,203.0.113.30,emp_frank,success,web,sess_nat
