timestamp,ip_address,username,login_outcome,request_source,session_id
2025-07-27T07:17:28,79.142.197.170,root,failure,honeypot,b31c9c8d-96cd-4429-afe0-36cafbe2d29b
2025-07-27T07:18:36,85.208.253.189,root,failure,honeypot,07bf5efe-f0bb-4e67-9ebd-428f3d9afe96
2025-07-27T07:18:37,85.208.253.189,345gs5662d34,failure,honeypot,e5199a74-9e41-4a11-9113-523871b73a36
2025-07-27T07:18:38,85.208.253.189,root,failure,honeypot,84f3861f-8bc3-4ecf-996a-cfe094cea71c
2025-07-27T07:24:29,79.142.197.170,root,failure,honeypot,2855ddd5-74ca-4c76-a889-69a858802f5b
2025-07-27T07:24:42,79.142.197.170,root,failure,honeypot,efe50459-19f9-4998-bf56-ca4e9e9be258
2025-07-27T07:30:16,80.94.95.118,ubnt,failure,honeypot,e4ddac83-b3d7-4628-b0e3-3be9eceded43
2025-07-27T07:46:09,179.43.189.98,root,failure,honeypot,bba54475-0ec1-4205-86ce-d05bf532cda8
2025-07-27T07:49:46,104.28.220.247,root,failure,honeypot,da00b02a-5566-4604-9aed-e74dc08605eb
2025-07-27T08:02:08,101.46.81.220,root,failure,honeypot,3b28ab43-3a79-4516-9877-2c5b22ef9a00
2025-07-27T08:18:03,47.74.45.204,root,failure,honeypot,a10869bd-19ec-42d8-8126-8764da0482b5
2025-07-27T08:18:06,47.74.45.204,345gs5662d34,failure,honeypot,3a478c2e-9f36-41c9-966d-5a75fde884c9
2025-07-27T08:18:08,47.74.45.204,root,failure,honeypot,23047156-7fcc-4381-b664-dc8fa7ee7892
2025-07-27T08:18:39,115.190.20.228,root,failure,honeypot,45f0ba01-23e3-4735-8a72-a0882080520b
2025-07-30T11:22:49,104.28.220.248,root,failure,honeypot,ac19ef5e-2a11-469c-a541-179dca92454c
2025-07-30T11:41:51,104.28.252.248,root,failure,honeypot,b78b92fc-f351-49d8-9325-7f4f5bdddb40
2025-07-30T11:42:47,104.28.220.248,root,failure,honeypot,2903b1a3-6ce7-42fd-8cf5-21c42a1cc3d3
2025-07-30T11:43:14,104.28.252.248,root,failure,honeypot,49a31cf7-0da1-48b6-842c-14f2b67aaf4d
2025-07-30T11:45:59,179.43.189.98,root,failure,honeypot,3ce58052-e25d-48fb-bfad-338624e7c7f2
2025-07-30T12:06:35,51.161.8.48,root,failure,honeypot,5d7b0553-915a-4e0e-9c03-a1e383c16a81
2025-07-30T12:06:36,51.161.8.48,345gs5662d34,failure,honeypot,eb12d8e3-6e68-4509-9f0f-48677c15f609
2025-07-30T12:06:37,51.161.8.48,root,failure,honeypot,a755eb8d-d425-435d-83c3-ecb7d1a4978d
2025-07-30T12:07:45,103.189.235.247,root,failure,honeypot,133a50c8-bf58-4b36-8d5d-b8f9f6ac811c
2025-07-30T12:07:47,103.189.235.247,345gs5662d34,failure,honeypot,c6980ae7-1085-49ac-810e-a2ac0fa9e3b9
2025-07-30T12:07:48,103.189.235.247,root,failure,honeypot,b20d0a7e-dbb9-4a1a-add7-c2d2d76886a0
2025-07-30T12:10:26,52.224.240.74,root,failure,honeypot,a52e415c-c9b0-4676-9056-07f1189d7fe9
2025-07-30T12:10:27,52.224.240.74,345gs5662d34,failure,honeypot,4615c154-d552-471a-ab85-c1b0f9c1a39d
2025-07-30T12:10:28,52.224.240.74,root,failure,honeypot,cf01dcd4-5aac-4ff1-8131-4f9c6af05120
2025-07-30T12:17:30,38.22.160.113,root,failure,honeypot,093396b6-ec24-4583-8faa-d8cc011c070a
2025-07-30T12:17:32,38.22.160.113,345gs5662d34,failure,honeypot,706b5448-710c-4484-b5b8-b7c5a497269d
2025-07-30T12:17:33,38.22.160.113,root,failure,honeypot,941791f5-09db-4542-a36a-3198674936c5
2025-07-30T12:20:42,14.253.149.9,root,failure,honeypot,ebb5beb9-c761-4115-96ce-5fdeb175a1e9
2025-07-30T12:20:45,14.253.149.9,345gs5662d34,failure,honeypot,3e40854e-1abd-45a1-a67c-700249e9dc6e
2025-07-30T12:20:46,14.253.149.9,root,failure,honeypot,b51dcefe-f6c3-41da-8fa6-dea2eb6f868f
2025-07-30T12:26:54,77.68.100.69,kelly,failure,honeypot,a58ab8ad-1bb5-4ad2-a70e-9c7d49fb480c
2025-07-30T12:26:54,77.68.100.69,345gs5662d34,failure,honeypot,24517a47-1867-4e0e-a344-b78288f755cd
2025-07-30T12:26:55,77.68.100.69,kelly,failure,honeypot,cfe92291-5b5e-48b5-afcc-44d72825025c
2025-07-30T12:28:13,24.144.83.187,root,failure,honeypot,a8e885d7-baec-4a06-9b49-a62fa516214b
2025-07-30T12:28:14,24.144.83.187,345gs5662d34,failure,honeypot,8cd961d1-4b46-4e1c-8382-71c0f12d218a
2025-07-30T12:28:15,24.144.83.187,root,failure,honeypot,84b6ed45-68cd-468a-b457-65327e6306bd
2025-07-30T13:12:10,42.51.39.94,root,failure,honeypot,b6e8a063-ecab-407d-b17d-a1bc6769585d
2025-07-30T13:16:36,113.161.168.2,root,failure,honeypot,95e25bf3-9a65-46af-ad3f-a25801b9070e
2025-07-30T13:20:08,42.51.39.94,postgres,failure,honeypot,c9b719d7-ba5c-474c-8c7a-773bfce5d9ad
2025-07-30T13:20:54,176.65.149.226,root,failure,honeypot,2ce9c726-06f4-4114-aa35-ef43990b16be
2025-07-30T13:20:57,165.227.72.212,demo,failure,honeypot,ca98aafc-4be7-48b5-952a-485614ac2778
2025-07-30T13:20:58,165.227.72.212,345gs5662d34,failure,honeypot,b94a6bfc-da87-4edc-8545-f52ac8ef1ca7
2025-07-30T13:20:59,165.227.72.212,demo,failure,honeypot,923394e8-f04b-4052-b06a-f375324b2ddb
2025-07-30T13:30:07,42.51.39.94,tomcat,failure,honeypot,bdf7b6f7-ef75-4269-b913-3535d5fe9520
2025-07-30T15:30:18,139.59.244.155,root,failure,honeypot,f761d4ac-7b62-4ed2-87a0-2f68f1bb3e7e
2025-07-30T15:30:20,139.59.244.155,345gs5662d34,failure,honeypot,4776d9f1-9c4c-4331-ba6e-863ee3b4aeec
2025-07-30T15:30:21,139.59.244.155,root,failure,honeypot,32aa5bf2-4376-4e66-bd89-02a04570ca83
2025-07-30T15:30:29,23.95.213.54,root,failure,honeypot,a8e6711f-c2d2-4507-baf4-9442863e8854
2025-07-30T15:30:31,23.95.213.54,345gs5662d34,failure,honeypot,0717a3f8-724d-4acc-a390-af2cdf3d3cfe
2025-07-30T15:30:32,23.95.213.54,root,failure,honeypot,06126526-ef82-442d-945f-1735c5a6d88d
2025-07-30T16:34:39,101.36.121.88,root,failure,honeypot,9ec69565-c522-4825-8654-ca0d773a0b6d
2025-07-30T16:36:58,129.222.184.228,root,failure,honeypot,d121432d-6f31-4da6-a1ab-7bfd610d2f60
2025-07-30T16:37:00,129.222.184.228,345gs5662d34,failure,honeypot,65b701e6-1716-46d0-93e0-df76a09476cd
2025-07-30T16:37:01,129.222.184.228,root,failure,honeypot,da8ce539-be87-4c83-8056-bf6278288627
2025-07-30T16:37:23,37.189.196.88,bin,failure,honeypot,f05d9259-3dad-4c5b-ba8c-fa4e4eb49458
2025-07-30T16:37:24,37.189.196.88,345gs5662d34,failure,honeypot,2f8119c9-66cb-4ce5-bd42-65087cc27638
2025-07-30T16:37:24,37.189.196.88,bin,failure,honeypot,1138fac1-fd4c-4bdb-bec4-785cd15fbe40
2025-07-30T16:38:49,57.129.61.16,userb,failure,honeypot,437222e6-d0cf-42df-aca1-8516932025dd
2025-07-30T16:38:49,57.129.61.16,345gs5662d34,failure,honeypot,df51deda-b85b-46c5-8eac-2bff48706239
2025-07-30T16:38:49,57.129.61.16,userb,failure,honeypot,f33b82df-24d4-460a-884d-fed0a1fe4979
2025-07-30T16:42:19,154.209.4.61,userm,failure,honeypot,f5fda02a-0819-441e-bbdb-bc540995f45a
2025-07-30T16:42:22,154.209.4.61,345gs5662d34,failure,honeypot,77334efe-4827-4183-b605-c89556c22593
2025-07-30T16:42:23,154.209.4.61,userm,failure,honeypot,1dadd209-fd68-4582-8ace-5463cae1c758
2025-07-30T17:05:42,101.36.121.88,ubuntu,failure,honeypot,0cb3b510-4039-4cc7-94de-46ad48aa1457
2025-07-30T17:21:49,179.43.189.98,root,failure,honeypot,31013f30-ed76-4a10-ab8c-6be193ed2f6f
2025-07-30T17:30:44,43.129.208.97,root,failure,honeypot,754da974-3ac2-4778-87fc-479f15d57888
2025-07-30T17:30:46,43.129.208.97,345gs5662d34,failure,honeypot,19d29a2e-8d9e-4204-bba5-e88d2323de92
2025-07-30T17:30:48,43.129.208.97,root,failure,honeypot,143cbf68-4363-4aa3-82b8-c697c043c80a
